"Plot Title: Temp Birds Mammals fluid rm"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10571608, SEN S/N: 10571608)","RH, % (LGR S/N: 10571608, SEN S/N: 10571608)","DewPt, °F (LGR S/N: 10571608, SEN S/N: 10571608)","Host Connected (LGR S/N: 10571608)","End Of File (LGR S/N: 10571608)"
81,12/17/23 11:57:42 PM,67.806,39.544,42.341,,
82,12/18/23 12:57:42 AM,67.806,41.677,43.711,,
83,12/18/23 01:57:42 AM,67.849,44.374,45.396,,
84,12/18/23 02:57:42 AM,67.849,41.776,43.812,,
85,12/18/23 03:57:42 AM,67.806,42.417,44.172,,
86,12/18/23 04:57:42 AM,67.719,39.409,42.175,,
87,12/18/23 05:57:42 AM,67.635,39.760,42.328,,
88,12/18/23 06:57:42 AM,67.591,40.081,42.499,,
89,12/18/23 07:57:42 AM,67.035,40.629,42.354,,
90,12/18/23 08:57:42 AM,66.436,41.430,42.323,,
91,12/18/23 09:57:42 AM,65.536,43.648,42.867,,
92,12/18/23 10:57:42 AM,64.679,45.054,42.917,,
93,12/18/23 11:57:42 AM,65.278,45.221,43.558,,
94,12/18/23 12:57:42 PM,64.337,46.296,43.315,,
95,12/18/23 01:57:42 PM,65.278,45.221,43.558,,
96,12/18/23 02:57:42 PM,63.952,45.954,42.769,,
97,12/18/23 03:57:42 PM,64.294,44.520,42.256,,
98,12/18/23 04:57:42 PM,63.439,44.749,41.612,,
99,12/18/23 05:57:42 PM,63.653,45.554,42.269,,
100,12/18/23 06:57:42 PM,63.480,48.437,43.713,,
101,12/18/23 07:57:42 PM,63.054,50.371,44.344,,
102,12/18/23 08:57:42 PM,63.824,50.709,45.230,,
103,12/18/23 09:57:42 PM,62.753,52.948,45.378,,
104,12/18/23 10:57:42 PM,64.123,51.819,46.078,,
105,12/18/23 11:57:42 PM,63.523,53.533,46.384,,
106,12/19/23 12:57:42 AM,63.352,54.073,46.490,,
107,12/19/23 01:57:42 AM,64.209,53.957,47.228,,
108,12/19/23 02:57:42 AM,62.625,55.728,46.611,,
109,12/19/23 03:57:42 AM,64.123,54.104,47.221,,
110,12/19/23 04:57:42 AM,64.337,54.029,47.383,,
111,12/19/23 05:57:42 AM,64.294,54.056,47.358,,
112,12/19/23 06:57:42 AM,64.209,54.172,47.334,,
113,12/19/23 07:57:42 AM,64.081,54.100,47.179,,
114,12/19/23 08:57:42 AM,64.081,54.377,47.316,,
115,12/19/23 09:57:42 AM,64.423,52.554,46.728,,
116,12/19/23 10:57:42 AM,64.467,52.805,46.893,,
117,12/19/23 11:57:42 AM,64.638,53.467,47.383,,
118,12/19/23 12:57:42 PM,64.765,53.446,47.493,,
119,12/19/23 01:10:17 PM,,,,Logged,
120,12/19/23 01:57:42 PM,64.852,52.835,47.266,,
121,12/19/23 02:57:42 PM,64.936,52.904,47.379,,
122,12/19/23 03:57:42 PM,65.023,52.910,47.462,,
123,12/19/23 04:57:42 PM,65.107,54.583,48.371,,
124,12/19/23 05:57:42 PM,65.066,55.194,48.630,,
125,12/19/23 06:57:42 PM,64.980,55.341,48.621,,
126,12/19/23 07:57:42 PM,64.936,55.552,48.682,,
127,12/19/23 08:57:42 PM,64.594,55.707,48.438,,
128,12/19/23 09:57:42 PM,64.809,53.264,47.442,,
129,12/19/23 10:57:42 PM,64.765,55.599,48.546,,
130,12/19/23 11:57:42 PM,64.594,55.033,48.114,,
131,12/20/23 12:57:42 AM,64.638,54.637,47.961,,
132,12/20/23 01:57:42 AM,64.508,56.373,48.675,,
133,12/20/23 02:57:42 AM,64.594,54.326,47.768,,
134,12/20/23 03:57:42 AM,64.594,56.411,48.774,,
135,12/20/23 04:57:42 AM,64.551,56.743,48.891,,
136,12/20/23 05:57:42 AM,64.467,55.452,48.195,,
137,12/20/23 06:57:42 AM,64.508,55.241,48.133,,
138,12/20/23 07:57:42 AM,64.508,57.045,48.992,,
139,12/20/23 08:57:42 AM,64.508,57.471,49.192,,
140,12/20/23 09:57:42 AM,64.508,57.805,49.348,,
141,12/20/23 10:57:42 AM,64.551,58.204,49.572,,
142,12/20/23 11:57:42 AM,64.594,58.632,49.809,,
143,12/20/23 12:57:42 PM,64.594,59.026,49.989,,
144,12/20/23 01:57:42 PM,64.679,58.701,49.921,,
145,12/20/23 02:57:42 PM,64.638,56.933,49.060,,
146,12/20/23 03:57:42 PM,64.679,58.245,49.712,,
147,12/20/23 04:57:42 PM,64.638,58.363,49.726,,
148,12/20/23 05:57:42 PM,64.467,58.500,49.627,,
149,12/20/23 06:57:42 PM,64.467,58.864,49.795,,
150,12/20/23 07:57:42 PM,64.252,58.663,49.501,,
151,12/20/23 08:57:42 PM,64.294,56.783,48.670,,
152,12/20/23 09:57:42 PM,64.423,56.732,48.765,,
153,12/20/23 10:57:42 PM,64.252,58.239,49.307,,
154,12/20/23 11:57:42 PM,64.252,57.297,48.870,,
155,12/21/23 12:57:42 AM,64.294,56.813,48.684,,
156,12/21/23 01:57:42 AM,64.294,57.696,49.096,,
157,12/21/23 02:57:42 AM,64.337,58.550,49.530,,
158,12/21/23 03:57:42 AM,64.337,58.701,49.600,,
159,12/21/23 04:57:42 AM,64.380,58.675,49.627,,
160,12/21/23 05:57:42 AM,64.337,58.731,49.613,,
161,12/21/23 06:57:42 AM,64.337,58.853,49.669,,
162,12/21/23 07:57:42 AM,64.294,58.576,49.503,,
163,12/21/23 08:57:42 AM,64.294,58.152,49.307,,
164,12/21/23 09:57:42 AM,64.294,57.787,49.138,,
165,12/21/23 10:57:42 AM,64.294,58.758,49.586,,
166,12/21/23 11:57:42 AM,64.337,59.216,49.834,,
167,12/21/23 12:57:42 PM,64.337,59.518,49.971,,
168,12/21/23 01:57:42 PM,64.337,59.759,50.079,,
169,12/21/23 02:57:42 PM,64.380,59.703,50.095,,
170,12/21/23 03:57:42 PM,64.380,59.944,50.203,,
171,12/21/23 04:57:42 PM,64.380,59.884,50.176,,
172,12/21/23 05:57:42 PM,64.337,59.820,50.108,,
173,12/21/23 06:57:42 PM,64.294,59.786,50.052,,
174,12/21/23 07:57:42 PM,64.252,59.812,50.023,,
175,12/21/23 08:57:42 PM,64.209,59.808,49.982,,
176,12/21/23 09:57:42 PM,64.166,59.714,49.899,,
177,12/21/23 10:57:42 PM,64.123,59.257,49.653,,
178,12/21/23 11:57:42 PM,64.123,58.925,49.501,,
179,12/22/23 12:57:42 AM,64.081,58.618,49.321,,
180,12/22/23 01:57:42 AM,64.038,58.129,49.057,,
181,12/22/23 02:57:42 AM,64.081,59.012,49.500,,
182,12/22/23 03:57:42 AM,64.081,59.193,49.582,,
183,12/22/23 04:57:42 AM,64.081,59.133,49.555,,
184,12/22/23 05:57:42 AM,64.038,59.099,49.500,,
185,12/22/23 06:57:42 AM,64.038,59.068,49.485,,
186,12/22/23 07:57:42 AM,63.995,59.065,49.444,,
187,12/22/23 08:57:42 AM,63.995,59.095,49.458,,
188,12/22/23 09:57:42 AM,63.909,58.452,49.084,,
189,12/22/23 10:57:42 AM,63.824,56.865,48.268,,
190,12/22/23 11:57:42 AM,63.824,58.838,49.179,,
191,12/22/23 12:57:42 PM,63.824,59.231,49.359,,
192,12/22/23 01:57:42 PM,63.781,58.350,48.916,,
193,12/22/23 02:57:42 PM,63.738,57.800,48.623,,
194,12/22/23 03:57:42 PM,63.738,57.982,48.708,,
195,12/22/23 04:57:42 PM,63.738,58.528,48.958,,
196,12/22/23 05:57:42 PM,63.781,58.471,48.972,,
197,12/22/23 06:57:42 PM,63.781,57.682,48.609,,
198,12/22/23 07:57:42 PM,63.824,57.473,48.553,,
199,12/22/23 08:57:42 PM,63.781,58.441,48.958,,
200,12/22/23 09:57:42 PM,63.824,58.808,49.167,,
201,12/22/23 10:57:42 PM,63.867,58.781,49.194,,
202,12/22/23 11:57:42 PM,63.867,58.630,49.125,,
203,12/23/23 12:57:42 AM,63.781,57.622,48.582,,
204,12/23/23 01:57:42 AM,63.738,57.527,48.497,,
205,12/23/23 02:57:42 AM,63.738,57.588,48.524,,
206,12/23/23 03:57:42 AM,63.738,57.709,48.582,,
207,12/23/23 04:57:42 AM,63.694,57.371,48.384,,
208,12/23/23 05:57:42 AM,63.694,57.189,48.299,,
209,12/23/23 06:57:42 AM,63.694,57.158,48.285,,
210,12/23/23 07:57:42 AM,63.653,57.276,48.301,,
211,12/23/23 08:57:42 AM,63.610,57.698,48.456,,
212,12/23/23 09:57:42 AM,63.653,58.611,48.916,,
213,12/23/23 10:57:42 AM,63.694,59.008,49.136,,
214,12/23/23 11:57:42 AM,63.653,58.369,48.805,,
215,12/23/23 12:57:42 PM,63.653,58.339,48.790,,
216,12/23/23 01:57:42 PM,63.653,58.369,48.805,,
217,12/23/23 02:57:42 PM,63.694,58.464,48.889,,
218,12/23/23 03:57:42 PM,63.653,58.460,48.846,,
219,12/23/23 04:57:42 PM,63.653,58.036,48.652,,
220,12/23/23 05:57:42 PM,63.694,57.614,48.497,,
221,12/23/23 06:57:42 PM,63.653,57.520,48.412,,
222,12/23/23 07:57:42 PM,63.694,59.038,49.150,,
223,12/23/23 08:57:42 PM,63.653,57.854,48.567,,
224,12/23/23 09:57:42 PM,63.653,58.611,48.916,,
225,12/23/23 10:57:42 PM,63.653,58.823,49.012,,
226,12/23/23 11:57:42 PM,63.653,58.884,49.041,,
227,12/24/23 12:57:42 AM,63.694,58.524,48.916,,
228,12/24/23 01:57:42 AM,63.653,58.763,48.985,,
229,12/24/23 02:57:42 AM,63.653,58.611,48.916,,
230,12/24/23 03:57:42 AM,63.653,58.369,48.805,,
231,12/24/23 04:57:42 AM,63.653,58.490,48.861,,
232,12/24/23 05:57:42 AM,63.610,58.365,48.763,,
233,12/24/23 06:57:42 AM,63.610,58.456,48.805,,
234,12/24/23 07:57:42 AM,63.567,58.210,48.652,,
235,12/24/23 08:57:42 AM,63.567,58.210,48.652,,
236,12/24/23 09:57:42 AM,63.523,58.600,48.790,,
237,12/24/23 10:57:42 AM,63.523,59.144,49.037,,
238,12/24/23 11:57:42 AM,63.567,59.269,49.134,,
239,12/24/23 12:57:42 PM,63.610,59.454,49.258,,
240,12/24/23 01:57:42 PM,63.653,59.518,49.327,,
241,12/24/23 02:57:42 PM,63.653,59.458,49.300,,
242,12/24/23 03:57:42 PM,63.694,59.491,49.356,,
243,12/24/23 04:57:42 PM,63.694,59.371,49.302,,
244,12/24/23 05:57:42 PM,63.694,58.494,48.902,,
245,12/24/23 06:57:42 PM,63.610,58.577,48.861,,
246,12/24/23 07:57:42 PM,63.610,58.214,48.693,,
247,12/24/23 08:57:42 PM,63.653,59.337,49.246,,
248,12/24/23 09:57:42 PM,63.653,59.458,49.300,,
249,12/24/23 10:57:42 PM,63.653,59.397,49.273,,
250,12/24/23 11:57:42 PM,63.653,59.337,49.246,,
251,12/25/23 12:57:42 AM,63.653,59.186,49.177,,
252,12/25/23 01:57:42 AM,63.653,58.974,49.082,,
253,12/25/23 02:57:42 AM,63.694,60.064,49.613,,
254,12/25/23 03:57:42 AM,63.738,60.158,49.696,,
255,12/25/23 04:57:42 AM,63.738,60.008,49.627,,
256,12/25/23 05:57:42 AM,63.738,59.887,49.573,,
257,12/25/23 06:57:42 AM,63.738,59.556,49.424,,
258,12/25/23 07:57:42 AM,63.694,59.371,49.302,,
259,12/25/23 08:57:42 AM,63.694,59.220,49.233,,
260,12/25/23 09:57:42 AM,63.653,59.095,49.136,,
261,12/25/23 10:57:42 AM,63.653,59.095,49.136,,
262,12/25/23 11:57:42 AM,63.653,59.065,49.122,,
263,12/25/23 12:57:42 PM,63.694,59.038,49.150,,
264,12/25/23 01:57:42 PM,63.694,58.887,49.082,,
265,12/25/23 02:57:42 PM,63.694,58.918,49.096,,
266,12/25/23 03:57:42 PM,63.738,58.831,49.096,,
267,12/25/23 04:57:42 PM,63.781,58.804,49.125,,
268,12/25/23 05:57:42 PM,63.824,58.808,49.167,,
269,12/25/23 06:57:42 PM,63.824,58.868,49.194,,
270,12/25/23 07:57:42 PM,63.781,58.350,48.916,,
271,12/25/23 08:57:42 PM,63.738,58.316,48.861,,
272,12/25/23 09:57:42 PM,63.694,58.221,48.778,,
273,12/25/23 10:57:42 PM,63.653,58.308,48.778,,
274,12/25/23 11:57:42 PM,63.653,58.853,49.026,,
275,12/26/23 12:57:42 AM,63.653,59.095,49.136,,
276,12/26/23 01:57:42 AM,63.694,59.220,49.233,,
277,12/26/23 02:57:42 AM,63.653,59.246,49.204,,
278,12/26/23 03:57:42 AM,63.653,59.276,49.219,,
279,12/26/23 04:57:42 AM,63.610,59.273,49.176,,
280,12/26/23 05:57:42 AM,63.610,59.182,49.136,,
281,12/26/23 06:57:42 AM,63.567,59.088,49.051,,
282,12/26/23 07:57:42 AM,63.567,59.057,49.039,,
283,12/26/23 08:57:42 AM,63.523,59.084,49.010,,
284,12/26/23 09:57:42 AM,63.523,59.567,49.228,,
285,12/26/23 10:57:42 AM,63.567,59.932,49.433,,
286,12/26/23 11:57:42 AM,63.610,59.996,49.501,,
287,12/26/23 12:57:42 PM,63.653,60.030,49.557,,
288,12/26/23 01:57:42 PM,63.694,60.185,49.667,,
289,12/26/23 02:57:42 PM,63.738,60.670,49.923,,
290,12/26/23 03:57:42 PM,63.867,61.042,50.209,,
291,12/26/23 04:57:42 PM,63.995,61.023,50.320,,
292,12/26/23 05:57:42 PM,64.081,61.031,50.405,,
293,12/26/23 06:57:42 PM,64.123,61.035,50.448,,
294,12/26/23 07:57:42 PM,64.166,60.889,50.423,,
295,12/26/23 08:57:42 PM,64.166,60.136,50.088,,
296,12/26/23 09:57:42 PM,64.166,59.684,49.885,,
297,12/26/23 10:57:42 PM,64.123,60.132,50.047,,
298,12/26/23 11:57:42 PM,64.081,60.008,49.950,,
299,12/27/23 12:57:42 AM,64.038,60.516,50.137,,
300,12/27/23 01:57:42 AM,64.038,60.937,50.324,,
301,12/27/23 02:57:42 AM,63.952,60.027,49.838,,
302,12/27/23 03:57:42 AM,63.952,59.756,49.716,,
303,12/27/23 04:57:42 AM,63.909,59.812,49.701,,
304,12/27/23 05:57:42 AM,63.867,59.808,49.660,,
305,12/27/23 06:57:42 AM,63.867,59.688,49.604,,
306,12/27/23 07:57:42 AM,63.824,59.684,49.563,,
307,12/27/23 08:57:42 AM,63.738,59.857,49.561,,
308,12/27/23 09:57:42 AM,63.738,60.008,49.627,,
309,12/27/23 10:57:42 AM,63.694,60.275,49.707,,
310,12/27/23 11:57:42 AM,63.694,60.576,49.840,,
311,12/27/23 12:57:42 PM,63.738,60.850,50.002,,
312,12/27/23 01:57:42 PM,63.824,61.098,50.193,,
313,12/27/23 02:57:42 PM,63.867,61.402,50.367,,
314,12/27/23 03:57:42 PM,63.909,61.526,50.461,,
315,12/27/23 04:57:42 PM,63.909,61.376,50.396,,
316,12/27/23 05:57:42 PM,63.952,61.290,50.398,,
317,12/27/23 06:57:42 PM,63.952,61.110,50.319,,
318,12/27/23 07:57:42 PM,63.909,60.144,49.849,,
319,12/27/23 08:57:42 PM,63.867,60.140,49.807,,
320,12/27/23 09:57:42 PM,63.824,60.768,50.047,,
321,12/27/23 10:57:42 PM,63.781,60.463,49.870,,
322,12/27/23 11:57:42 PM,63.824,61.008,50.153,,
323,12/28/23 12:57:42 AM,63.824,61.488,50.364,,
324,12/28/23 01:57:42 AM,63.824,61.308,50.284,,
325,12/28/23 02:57:42 AM,63.824,61.338,50.299,,
326,12/28/23 03:57:42 AM,63.781,61.454,50.308,,
327,12/28/23 04:57:42 AM,63.781,61.574,50.362,,
328,12/28/23 05:57:42 AM,63.781,61.634,50.387,,
329,12/28/23 06:57:42 AM,63.738,61.600,50.333,,
330,12/28/23 07:57:42 AM,63.738,61.600,50.333,,
331,12/28/23 08:57:42 AM,63.738,61.600,50.333,,
332,12/28/23 09:57:42 AM,63.738,61.570,50.319,,
333,12/28/23 10:57:42 AM,63.781,61.484,50.322,,
334,12/28/23 11:57:42 AM,63.781,61.304,50.243,,
335,12/28/23 12:57:42 PM,63.781,61.124,50.164,,
336,12/28/23 01:57:42 PM,63.781,61.094,50.151,,
337,12/28/23 02:57:42 PM,63.824,61.248,50.259,,
338,12/28/23 03:57:42 PM,63.867,61.432,50.380,,
339,12/28/23 04:57:42 PM,63.909,61.526,50.461,,
340,12/28/23 05:57:42 PM,63.952,61.530,50.504,,
341,12/28/23 06:57:42 PM,63.909,60.384,49.957,,
342,12/28/23 07:57:42 PM,63.867,61.042,50.209,,
343,12/28/23 08:57:42 PM,63.824,61.038,50.166,,
344,12/28/23 09:57:42 PM,63.781,60.944,50.085,,
345,12/28/23 10:57:42 PM,63.781,61.544,50.347,,
346,12/28/23 11:57:42 PM,63.824,61.997,50.587,,
347,12/29/23 12:57:42 AM,63.824,62.087,50.625,,
348,12/29/23 01:57:42 AM,63.824,61.997,50.587,,
349,12/29/23 02:57:42 AM,63.867,61.911,50.589,,
350,12/29/23 03:57:42 AM,63.824,61.757,50.482,,
351,12/29/23 04:57:42 AM,63.824,61.578,50.403,,
352,12/29/23 05:57:42 AM,63.824,61.428,50.338,,
353,12/29/23 06:57:42 AM,63.781,61.364,50.270,,
354,12/29/23 07:57:42 AM,63.781,61.274,50.230,,
355,12/29/23 08:57:42 AM,63.738,61.390,50.239,,
356,12/29/23 09:57:42 AM,63.738,61.600,50.333,,
357,12/29/23 10:57:42 AM,63.781,61.873,50.491,,
358,12/29/23 11:57:42 AM,63.824,61.877,50.535,,
359,12/29/23 12:57:42 PM,63.867,61.971,50.616,,
360,12/29/23 01:57:42 PM,63.909,62.065,50.697,,
361,12/29/23 02:57:42 PM,63.909,62.184,50.749,,
362,12/29/23 03:57:42 PM,63.952,62.278,50.830,,
363,12/29/23 04:57:42 PM,63.952,61.889,50.661,,
364,12/29/23 05:57:42 PM,63.909,61.526,50.461,,
365,12/29/23 06:57:42 PM,63.824,61.877,50.535,,
366,12/29/23 07:57:42 PM,63.781,62.113,50.596,,
367,12/29/23 08:57:42 PM,63.694,62.015,50.473,,
368,12/29/23 09:57:42 PM,63.653,61.981,50.418,,
369,12/29/23 10:57:42 PM,63.610,61.139,50.009,,
370,12/29/23 11:57:42 PM,63.567,61.075,49.941,,
371,12/30/23 12:57:42 AM,63.523,61.311,50.004,,
372,12/30/23 01:57:42 AM,63.523,61.790,50.212,,
373,12/30/23 02:57:42 AM,63.523,62.119,50.356,,
374,12/30/23 03:57:42 AM,63.523,62.089,50.344,,
375,12/30/23 04:57:42 AM,63.523,62.597,50.563,,
376,12/30/23 05:57:42 AM,63.523,62.447,50.499,,
377,12/30/23 06:57:42 AM,63.523,62.537,50.536,,
378,12/30/23 07:57:42 AM,63.523,62.716,50.614,,
379,12/30/23 08:57:42 AM,63.523,62.716,50.614,,
380,12/30/23 09:57:42 AM,63.523,63.312,50.869,,
381,12/30/23 10:57:42 AM,63.567,63.554,51.013,,
382,12/30/23 11:57:42 AM,63.653,63.889,51.237,,
383,12/30/23 12:57:42 PM,63.610,62.992,50.814,,
384,12/30/23 01:57:42 PM,63.567,61.704,50.216,,
385,12/30/23 02:57:42 PM,63.523,61.939,50.279,,
386,12/30/23 03:57:42 PM,63.523,62.388,50.472,,
387,12/30/23 04:57:42 PM,63.480,61.965,50.248,,
388,12/30/23 05:57:42 PM,63.480,62.115,50.313,,
389,12/30/23 06:57:42 PM,63.439,62.290,50.349,,
390,12/30/23 07:57:42 PM,63.439,61.782,50.130,,
391,12/30/23 08:57:42 PM,63.396,62.465,50.385,,
392,12/30/23 09:57:42 PM,63.439,63.482,50.860,,
393,12/30/23 10:57:42 PM,63.480,63.605,50.954,,
394,12/30/23 11:57:42 PM,63.480,63.516,50.916,,
395,12/31/23 12:57:42 AM,63.523,63.431,50.920,,
396,12/31/23 01:57:42 AM,63.480,63.338,50.839,,
397,12/31/23 02:57:42 AM,63.480,63.248,50.801,,
398,12/31/23 03:57:42 AM,63.480,63.159,50.763,,
399,12/31/23 04:57:42 AM,63.480,63.070,50.725,,
400,12/31/23 05:57:42 AM,63.480,62.921,50.661,,
401,12/31/23 06:57:42 AM,63.439,62.738,50.542,,
402,12/31/23 07:57:42 AM,63.396,62.525,50.410,,
403,12/31/23 08:57:42 AM,63.396,62.465,50.385,,
404,12/31/23 09:57:42 AM,63.396,62.495,50.398,,
405,12/31/23 10:57:42 AM,63.439,62.529,50.452,,
406,12/31/23 11:57:42 AM,63.439,62.469,50.427,,
407,12/31/23 12:57:42 PM,63.396,62.346,50.333,,
408,12/31/23 01:57:42 PM,63.352,62.342,50.292,,
409,12/31/23 02:57:42 PM,63.309,62.278,50.223,,
410,12/31/23 03:57:42 PM,63.268,62.245,50.167,,
411,12/31/23 04:57:42 PM,63.225,62.151,50.086,,
412,12/31/23 05:57:42 PM,63.181,61.699,49.851,,
413,12/31/23 06:57:42 PM,63.138,61.336,49.651,,
414,12/31/23 07:57:42 PM,63.095,62.408,50.076,,
415,12/31/23 08:57:42 PM,63.138,62.740,50.259,,
416,12/31/23 09:57:42 PM,63.138,62.799,50.284,,
417,12/31/23 10:57:42 PM,63.181,62.774,50.315,,
418,12/31/23 11:57:42 PM,63.225,62.718,50.331,,
419,01/01/24 12:57:42 AM,63.225,62.569,50.266,,
420,01/01/24 01:57:42 AM,63.225,62.420,50.203,,
421,01/01/24 02:57:42 AM,63.225,62.270,50.139,,
422,01/01/24 03:57:42 AM,63.181,62.028,49.993,,
423,01/01/24 04:57:42 AM,63.181,61.759,49.876,,
424,01/01/24 05:57:42 AM,63.138,61.635,49.782,,
425,01/01/24 06:57:42 AM,63.095,61.422,49.647,,
426,01/01/24 07:57:42 AM,63.010,61.234,49.485,,
427,01/01/24 08:57:42 AM,62.967,61.020,49.350,,
428,01/01/24 09:57:42 AM,62.924,60.897,49.257,,
429,01/01/24 10:57:42 AM,62.924,60.386,49.030,,
430,01/01/24 11:57:42 AM,62.881,59.631,48.654,,
431,01/01/24 12:57:42 PM,62.839,59.265,48.448,,
432,01/01/24 01:57:42 PM,62.881,58.000,47.912,,
433,01/01/24 02:57:42 PM,62.796,57.447,47.577,,
434,01/01/24 03:57:42 PM,62.710,57.470,47.507,,
435,01/01/24 04:57:42 PM,62.667,57.314,47.395,,
436,01/01/24 05:57:42 PM,62.667,57.860,47.647,,
437,01/01/24 06:57:42 PM,62.625,58.038,47.689,,
438,01/01/24 07:57:42 PM,62.625,58.189,47.759,,
439,01/01/24 08:57:42 PM,62.710,58.318,47.898,,
440,01/01/24 09:57:42 PM,62.796,58.416,48.024,,
